Number of Iterations, Number Of Values, Number Of Dimensions, Number of Clusters, Total Time (ms), Time Per Iteration (ms)
31,64,2,15,2043.38312149,65.9155845642
31,64,2,15,2246.06108665,72.4535834405
31,64,2,15,1902.83107758,61.3816476637
31,64,2,15,1855.20386696,59.8452860309
31,64,2,15,2176.70202255,70.2161942759
31,128,2,15,3353.86514664,108.189198279
31,128,2,15,3497.9391098,112.836745477
31,128,2,15,3363.87610435,108.512132399
31,128,2,15,3645.3640461,117.592388584
31,128,2,15,3288.7878418,106.089930381
31,256,2,15,6621.68598175,213.602773605
31,256,2,15,6631.72698021,213.926676781
31,256,2,15,5673.01011086,183.000326157
31,256,2,15,6458.68706703,208.344744098
31,256,2,15,6734.85898972,217.253515797
31,512,2,15,10075.5360126,325.017290731
31,512,2,15,11080.8560848,357.446970478
31,512,2,15,9953.80401611,321.090452133
31,512,2,15,9600.00896454,309.677708534
31,512,2,15,10572.7858543,341.057608205
31,1024,2,15,19956.3250542,643.752421102
31,1024,2,15,17539.1139984,565.777870917
31,1024,2,15,18834.182024,607.554258839
31,1024,2,15,19150.3269672,617.752482814
31,1024,2,15,19789.0930176,638.357839277
31,2048,2,15,37155.0300121,1198.54935523
31,2048,2,15,37013.3159161,1193.97793278
31,2048,2,15,35838.6991024,1156.08706782
31,2048,2,15,38706.97999,1248.61225774
31,2048,2,15,36619.3079948,1181.26799983
31,4096,2,15,72577.4791241,2341.209004
31,4096,2,15,77690.1359558,2506.13341793
31,4096,2,15,69602.4830341,2245.2413882
31,4096,2,15,70525.3179073,2275.01025508
31,4096,2,15,71488.7099266,2306.08741699
31,8192,2,15,133306.109905,4300.19709372
31,8192,2,15,132831.489086,4284.88674471
31,8192,2,15,133923.331022,4320.10745233
31,8192,2,15,132472.604036,4273.30980762
31,8192,2,15,137040.857077,4420.67280892
31,16384,2,15,270220.543146,8716.79171439
31,16384,2,15,275316.744804,8881.18531627
31,16384,2,15,272963.453054,8805.27267918
31,16384,2,15,270416.651011,8723.11777453
31,16384,2,15,265400.792122,8561.3158749
